"f","fname","instr","value"
"https://mkg.com/data#sendUDP","sendUDP","https://mkg.com/data#ins_0040611e","0x00406123"
"https://mkg.com/data#csum","csum","https://mkg.com/data#ins_00403e52","0x00403e57"
"https://mkg.com/data#sendHOLD","sendHOLD","https://mkg.com/data#ins_00407144","0x00407159"
"https://mkg.com/data#wildString","wildString","https://mkg.com/data#ins_004027ea","0x004028a5"
"https://mkg.com/data#processCmd","processCmd","https://mkg.com/data#ins_00407473","0x00407eeb"
"https://mkg.com/data#signal","signal","https://mkg.com/data#ins_00401210","qword ptr [0x0060b120]"
"https://mkg.com/data#_exit","_exit","https://mkg.com/data#ins_00401040","qword ptr [0x0060b038]"
"https://mkg.com/data#StartTheLelz","StartTheLelz","https://mkg.com/data#ins_004054d8","0x00405cd7"
"https://mkg.com/data#getOurIP","getOurIP","https://mkg.com/data#ins_004082cc","0x00408294"
"https://mkg.com/data#sendTCP","sendTCP","https://mkg.com/data#ins_00406288","0x0040629f"
"https://mkg.com/data#sendTCP","sendTCP","https://mkg.com/data#ins_004065aa","0x0040667c"
"https://mkg.com/data#vfork","vfork","https://mkg.com/data#ins_004012a0","qword ptr [0x0060b168]"
"https://mkg.com/data#StartTheLelz","StartTheLelz","https://mkg.com/data#ins_00404087","0x00404095"
"https://mkg.com/data#readUntil","readUntil","https://mkg.com/data#ins_00403985","0x00403991"
"https://mkg.com/data#main","main","https://mkg.com/data#ins_004087c9","0x004087e5"
"https://mkg.com/data#getOurIP","getOurIP","https://mkg.com/data#ins_004081fd","0x0040821c"
"https://mkg.com/data#processCmd","processCmd","https://mkg.com/data#ins_00407a28","0x004079c5"
"https://mkg.com/data#sendJUNK","sendJUNK","https://mkg.com/data#ins_004069e9","0x004069ee"
"https://mkg.com/data#listFork","listFork","https://mkg.com/data#ins_004032e0","0x00403398"
"https://mkg.com/data#sendTCP","sendTCP","https://mkg.com/data#ins_00406834","0x00406754"
"https://mkg.com/data#sendTCP","sendTCP","https://mkg.com/data#ins_00406754","0x00406759"
"https://mkg.com/data#main","main","https://mkg.com/data#ins_004084c6","0x00408491"
"https://mkg.com/data#StartTheLelz","StartTheLelz","https://mkg.com/data#ins_00404631","0x00405cd7"
"https://mkg.com/data#StartTheLelz","StartTheLelz","https://mkg.com/data#ins_004042e6","0x004042eb"
"https://mkg.com/data#deregister_tm_clones","deregister_tm_clones","https://mkg.com/data#ins_004013e5","RAX"
"https://mkg.com/data#socket","socket","https://mkg.com/data#ins_00401370","qword ptr [0x0060b1d0]"
