"function","totalRelevantInst"
"https://mkg.com/data#connection_consume_arch","75"
"https://mkg.com/data#connection_consume_psoutput","64"
"https://mkg.com/data#handle_event","38"
"https://mkg.com/data#connection_consume_mounts","37"
"https://mkg.com/data#connection_consume_iacs","36"
"https://mkg.com/data#connection_consume_written_dirs","25"
"https://mkg.com/data#timeout_thread","25"
"https://mkg.com/data#connection_close","23"
"https://mkg.com/data#main","22"
"https://mkg.com/data#connection_consume_login_prompt","21"
"https://mkg.com/data#telnet_info_parse","21"
"https://mkg.com/data#server_create","18"
"https://mkg.com/data#util_socket_and_bind","18"
"https://mkg.com/data#connection_consume_password_prompt","17"
"https://mkg.com/data#hexDump","16"
"https://mkg.com/data#connection_upload_echo","15"
"https://mkg.com/data#connection_upload_tftp","14"
"https://mkg.com/data#util_trim","14"
"https://mkg.com/data#load","13"
"https://mkg.com/data#server_telnet_probe","13"
"https://mkg.com/data#connection_consume_upload_methods","12"
"https://mkg.com/data#connection_consume_arm_subtype","11"
"https://mkg.com/data#connection_consume_prompt","11"
"https://mkg.com/data#binary_init","10"
"https://mkg.com/data#util_memsearch","10"
"https://mkg.com/data#connection_verify_payload","9"
"https://mkg.com/data#telnet_info_new","8"
"https://mkg.com/data#__libc_csu_init","7"
"https://mkg.com/data#binary_get_by_arch","7"
"https://mkg.com/data#bind_core","7"
"https://mkg.com/data#server_destroy","6"
"https://mkg.com/data#util_sockprintf","6"
"https://mkg.com/data#worker","6"
"https://mkg.com/data#connection_consume_cleanup","5"
"https://mkg.com/data#connection_consume_copy_op","5"
"https://mkg.com/data#connection_consume_verify_login","5"
"https://mkg.com/data#connection_upload_wget","5"
"https://mkg.com/data#register_tm_clones","5"
"https://mkg.com/data#server_queue_telnet","4"
"https://mkg.com/data#_init","3"
"https://mkg.com/data#deregister_tm_clones","3"
"https://mkg.com/data#stats_thread","2"
